jobTitle,company,location,salary,experience,skills,description,employmentType,industry,applyLink,postedDate,source,education
Computer Vision Engineer ( Biomedical Imaging),Aganitha Cognitive Solutions,Hyderabad,3.3-8.5 LPA,0-3  years,"Opencv, Pytorch, Image Processing, Machine Learning, Python, Biomedical, Imaging, Processing","Experience through industry projects, academic research, internships, thesis work, or p...",Full-time,Healthcare,https://www.naukri.com/job-listings-computer-vision-engineer-biomedical-imaging-aganitha-cognitive-solutions-hyderabad-0-to-3-years-240626014014,2026-06-26,Naukri,"B.E, B.Pharm, B.Sc (CS/IT), B.Tech, BCA, M.Tech, MCA | 2024-2026 Passed Outs"
Data Analyst,Acciojob,"Hyderabad, Pune, New Delhi",2.6-8.0 LPA,0-2  years,"Excel, Power BI, SQL, Data Visualization, Data Analytics, Python, Data analysis, Analytics","Pass this single test to earn your 6-month Job Pass, allowing you to skip repetitive On...",Full-time,Technology,https://www.naukri.com/job-listings-data-analyst-acciojob-hyderabad-pune-delhi-ncr-0-to-2-years-150726014835,2026-07-15,Naukri,"B.E, B.Sc (CS/IT), B.Tech, BCA, MCA | 2024-2026 Passed Outs"
Analyst,eClerx,Chandigarh,3.5-9.0 LPA,0-2  years,"Time Management, Power BI, Access, Programming, Tableau, Verbal Communication, Analytics, SQL",Job Description: BPO MIS Analyst (SQL & VBA Must). Minimum 6 Months ExperiencePosition:...,Full-time,Technology,https://www.naukri.com/job-listings-analyst-eclerx-chandigarh-0-to-2-years-220126028612,2026-07-14,Naukri,"B.E, B.Sc (CS/IT), B.Tech, BCA, MCA | 2024-2026 Passed Outs"
Analyst,Tresvista Financial Services,Pune,3.8-7.8 LPA,0-2  years,"Accounting, Industry Research, Research, Verbal Communication, Analytics, PowerPoint, Communication Skills, Excel",Willingness to learn and adapt to new tools and methodologies.  . Any GraduateWillingne...,Full-time,Finance,https://www.naukri.com/job-listings-analyst-tresvista-financial-services-pune-0-to-2-years-150726019421,2026-07-15,Naukri,"B.E, B.Sc (CS/IT), B.Tech, BCA, MCA | 2024-2026 Passed Outs"
Software Developer,Confiable Solutions,Bengaluru,2.8-7.7 LPA,0-2  years,"css, google cloud platform, full stack developer, media, cloud, git, java, design",Freedom: We know best talent hate much of rules and creative thinking needs its own s...,Full-time,Technology,https://www.naukri.com/job-listings-software-developer-confiable-solutions-bengaluru-0-to-2-years-160726504088,2026-07-16,Naukri,"B.E, B.Sc (CS/IT), B.Tech, BCA, MCA | 2024-2026 Passed Outs"
Software Engineer AI,Lightmetrics,Bengaluru,2.4-9.4 LPA,0-3  years,"insurance, algorithms, python, c, health insurance, ai, research, tensorflow",Prior experience in working in the image / video domain is a must. High level of profic...,Full-time,Healthcare,https://www.naukri.com/job-listings-software-engineer-ai-lightmetrics-bengaluru-0-to-3-years-160726503933,2026-07-16,Naukri,"B.E, B.Pharm, B.Sc (CS/IT), B.Tech, BCA, M.Tech, MCA | 2024-2026 Passed Outs"
Online Data Analyst Odia (IN),TELUS Digital,Remote,2.1-10.4 LPA,0-5  years,"Oriya, oriya speaker, odiya, Language Editing, Power BI, Artificial Intelligence, Content Writing, content",This freelance opportunity allows you to work at your own pace and from home. . A day i...,Remote,Technology,https://www.naukri.com/job-listings-online-data-analyst-odia-in-telus-digital-india-0-to-5-years-220426038468,2026-07-03,Naukri,"B.E, B.Sc (CS/IT), B.Tech, BCA, MCA | 2024-2026 Passed Outs"
Online Data Analyst Bengali (IN),TELUS Digital,Remote,3.3-11.1 LPA,0-5  years,"Bengali, Language Editing, Power BI, Content Editing, Artificial Intelligence, Bengali Content, language expert, Data Analytics",This freelance opportunity allows you to work at your own pace and from home. . A day i...,Remote,Technology,https://www.naukri.com/job-listings-online-data-analyst-bengali-in-telus-digital-india-0-to-5-years-070726015044,2026-07-10,Naukri,"B.E, B.Sc (CS/IT), B.Tech, BCA, MCA | 2024-2026 Passed Outs"
Data Analyst,KPMG India,"Hybrid - Gurugram(DLF CITY), Bengaluru",2.4-10.4 LPA,0-4  years,"Power BI, Data Analytics, SQL, Python, Data Analysis, Data Visualization, Analytics, Bi",Responsibilities:Collaborate with cross-functional teams on project deliverables.Analyz...,Full-time,Technology,https://www.naukri.com/job-listings-data-analyst-kpmg-india-gurugram-bengaluru-0-to-4-years-110726010597,2026-07-11,Naukri,"B.E, B.Sc (CS/IT), B.Tech, BCA, MCA | 2024-2026 Passed Outs"
Data Analyst (English Required),Peroptyx,Remote,3.6-10.0 LPA,0-5  years,"Data Analysis, English, Data Analytics, Data Mapping, Analysis, Analytics, Mapping, Data","For thousands of years, maps have provided humans with the knowledge they need to make ...",Remote,Technology,https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-mumbai-all-areas-0-to-5-years-100726028508,2026-07-11,Naukri,"B.E, B.Sc (CS/IT), B.Tech, BCA, MCA | 2024-2026 Passed Outs"
